,z_bins
0,0.068031981123261
1,0.1050302681063717
2,0.1433102332263531
3,0.1829162758049169
4,0.2238943332252514
5,0.2662919342128615
6,0.3101582539621375
7,0.3555441711725957
8,0.4025023270609431
9,0.4510871864174088
10,0.5013551007771659
11,0.553364373780106
12,0.6071753287947794
13,0.6628503788849336
14,0.7204540991998019
15,0.8233714709600575
16,0.9794720268946636
17,1.148936499042274
18,1.332908984907725
19,1.5326315292651778
20,1.7494525095164728
21,1.9848357389279423
22,2.2403703492039293
23,2.517781519116782
24,2.818942121624993
25,3.145885368112149
